image_id,label
patch-1850-2750-1900-2800-#map_101168609.png#.png,2
patch-350-2450-400-2500-#map_101168618.png#.png,2
patch-2200-500-2250-550-#map_101168702.png#.png,2
patch-3300-1900-3350-1950-#map_101168702.png#.png,1
patch-2650-2950-2700-3000-#map_101168702.png#.png,2
patch-2450-3000-2500-3050-#map_101168609.png#.png,2
patch-4250-1150-4300-1200-#map_101168708.png#.png,1
patch-3150-2800-3200-2850-#map_101168609.png#.png,2
patch-4750-700-4800-750-#map_101168702.png#.png,1
patch-3900-3050-3950-3100-#map_101168609.png#.png,2
patch-850-1400-900-1450-#map_101168702.png#.png,1
patch-3650-950-3700-1000-#map_101168609.png#.png,2
patch-400-0-450-50-#map_101168708.png#.png,2
patch-250-2700-300-2750-#map_101168618.png#.png,1
patch-550-1250-600-1300-#map_101168708.png#.png,2
patch-1550-2300-1600-2350-#map_101168609.png#.png,1
patch-600-2450-650-2500-#map_101168618.png#.png,2
patch-2000-500-2050-550-#map_101168708.png#.png,2
patch-4500-2150-4550-2200-#map_101168702.png#.png,1
patch-150-2000-200-2050-#map_101168702.png#.png,1
patch-1800-1250-1850-1300-#map_101168702.png#.png,1
patch-300-550-350-600-#map_101168708.png#.png,1
patch-350-2250-400-2300-#map_101168702.png#.png,1
patch-3400-400-3450-450-#map_101168618.png#.png,1
patch-2450-1650-2500-1700-#map_101168609.png#.png,1
patch-4250-1150-4300-1200-#map_101168609.png#.png,1
patch-1050-2150-1100-2200-#map_101168702.png#.png,1
patch-3050-950-3100-1000-#map_101168609.png#.png,1
patch-3850-1600-3900-1650-#map_101168618.png#.png,1
patch-4450-250-4500-300-#map_101168609.png#.png,1
patch-700-3400-750-3450-#map_101168702.png#.png,1
patch-4750-950-4800-1000-#map_101168708.png#.png,1
patch-1850-0-1900-50-#map_101168618.png#.png,1
patch-4500-2000-4550-2050-#map_101168702.png#.png,1
patch-900-1450-950-1500-#map_101168708.png#.png,1
patch-3550-2950-3600-3000-#map_101168708.png#.png,1
patch-1000-650-1050-700-#map_101168702.png#.png,1
patch-800-200-850-250-#map_101168702.png#.png,2
patch-3950-800-4000-850-#map_101168618.png#.png,2
patch-1500-450-1550-500-#map_101168702.png#.png,1
patch-3450-2800-3500-2850-#map_101168708.png#.png,1
patch-2950-3250-3000-3300-#map_101168618.png#.png,1
patch-2650-2600-2700-2650-#map_101168702.png#.png,1
patch-1300-3200-1350-3250-#map_101168618.png#.png,1
patch-2350-2650-2400-2700-#map_101168708.png#.png,2
patch-2800-550-2850-600-#map_101168618.png#.png,1
patch-1500-2800-1550-2850-#map_101168708.png#.png,1
patch-1300-2000-1350-2050-#map_101168708.png#.png,1
patch-4500-950-4550-1000-#map_101168618.png#.png,2
patch-1100-2800-1150-2850-#map_101168702.png#.png,1
patch-2550-850-2600-900-#map_101168618.png#.png,1
patch-1550-1650-1600-1700-#map_101168708.png#.png,1
patch-1700-3000-1750-3050-#map_101168702.png#.png,1
patch-1550-1500-1600-1550-#map_101168702.png#.png,1
patch-1850-2850-1900-2900-#map_101168609.png#.png,2
patch-1700-1500-1750-1550-#map_101168708.png#.png,1
patch-2500-1800-2550-1850-#map_101168609.png#.png,1
patch-750-650-800-700-#map_101168618.png#.png,1
patch-1650-1850-1700-1900-#map_101168702.png#.png,1
patch-4300-2500-4350-2550-#map_101168702.png#.png,1
patch-2650-1150-2700-1200-#map_101168618.png#.png,1
patch-3900-2950-3950-3000-#map_101168702.png#.png,1
patch-4300-1750-4350-1800-#map_101168618.png#.png,1
patch-1400-1800-1450-1850-#map_101168609.png#.png,1
patch-1900-1450-1950-1500-#map_101168702.png#.png,1
patch-4700-1400-4750-1450-#map_101168618.png#.png,1
patch-2000-1500-2050-1550-#map_101168618.png#.png,1
patch-3850-2100-3900-2150-#map_101168708.png#.png,1
patch-1350-700-1400-750-#map_101168708.png#.png,1
patch-3450-250-3500-300-#map_101168708.png#.png,1
patch-2200-2100-2250-2150-#map_101168708.png#.png,1
patch-900-1200-950-1250-#map_101168618.png#.png,1
patch-3300-650-3350-700-#map_101168609.png#.png,1
patch-2100-2950-2150-3000-#map_101168618.png#.png,1
patch-2650-2900-2700-2950-#map_101168618.png#.png,1
patch-1400-3300-1450-3350-#map_101168702.png#.png,1
patch-500-2900-550-2950-#map_101168708.png#.png,1
patch-1400-950-1450-1000-#map_101168609.png#.png,1
patch-250-2300-300-2350-#map_101168702.png#.png,1
patch-1400-2500-1450-2550-#map_101168708.png#.png,1
patch-1600-1950-1650-2000-#map_101168702.png#.png,1
patch-2400-1050-2450-1100-#map_101168618.png#.png,1
patch-3300-2250-3350-2300-#map_101168702.png#.png,1
patch-3150-2150-3200-2200-#map_101168618.png#.png,1
patch-400-3150-450-3200-#map_101168609.png#.png,1
patch-250-2100-300-2150-#map_101168609.png#.png,1
patch-4400-1100-4450-1150-#map_101168618.png#.png,1
patch-1150-2050-1200-2100-#map_101168609.png#.png,1
patch-2700-1900-2750-1950-#map_101168609.png#.png,1
patch-2700-3050-2750-3100-#map_101168708.png#.png,1
patch-1600-750-1650-800-#map_101168708.png#.png,1
patch-3000-2100-3050-2150-#map_101168708.png#.png,1
patch-4750-1700-4800-1750-#map_101168708.png#.png,1
patch-4150-1950-4200-2000-#map_101168708.png#.png,1
patch-900-900-950-950-#map_101168618.png#.png,1
patch-4450-1500-4500-1550-#map_101168618.png#.png,1
patch-4300-1850-4350-1900-#map_101168618.png#.png,1
patch-50-2400-100-2450-#map_101168609.png#.png,1
patch-3750-450-3800-500-#map_101168702.png#.png,1
patch-3550-650-3600-700-#map_101168702.png#.png,2
patch-3400-2300-3450-2350-#map_101168609.png#.png,1
patch-2350-3100-2400-3150-#map_101168609.png#.png,2
patch-300-600-350-650-#map_101168708.png#.png,1
patch-3600-2400-3650-2450-#map_101168609.png#.png,2
patch-3050-1450-3100-1500-#map_101168702.png#.png,2
patch-2550-3000-2600-3050-#map_101168609.png#.png,1
patch-3650-2250-3700-2300-#map_101168609.png#.png,1
patch-850-1800-900-1850-#map_101168708.png#.png,1
patch-3950-1450-4000-1500-#map_101168609.png#.png,1
patch-1150-250-1200-300-#map_101168702.png#.png,1
patch-500-2400-550-2450-#map_101168708.png#.png,1
patch-1850-150-1900-200-#map_101168609.png#.png,1
patch-150-2650-200-2700-#map_101168702.png#.png,1
patch-250-2650-300-2700-#map_101168708.png#.png,1
patch-2050-1250-2100-1300-#map_101168618.png#.png,1
patch-3650-1400-3700-1450-#map_101168618.png#.png,1
patch-3000-2850-3050-2900-#map_101168702.png#.png,1
patch-4400-2900-4450-2950-#map_101168702.png#.png,1
patch-750-2450-800-2500-#map_101168702.png#.png,1
patch-300-3250-350-3300-#map_101168702.png#.png,1
patch-0-50-50-100-#map_101168618.png#.png,1
patch-550-2600-600-2650-#map_101168609.png#.png,1
patch-800-2900-850-2950-#map_101168609.png#.png,1
patch-1600-3150-1650-3200-#map_101168618.png#.png,1
patch-950-1600-1000-1650-#map_101168702.png#.png,1
patch-3950-1750-4000-1800-#map_101168609.png#.png,2
patch-2250-1300-2300-1350-#map_101168702.png#.png,1
patch-4700-2150-4750-2200-#map_101168609.png#.png,2
patch-4500-600-4550-650-#map_101168708.png#.png,1
patch-4700-600-4750-650-#map_101168609.png#.png,1
patch-2400-2250-2450-2300-#map_101168708.png#.png,1
patch-4800-1900-4850-1950-#map_101168702.png#.png,1
patch-1900-2950-1950-3000-#map_101168702.png#.png,2
patch-2100-200-2150-250-#map_101168609.png#.png,1
patch-1350-2200-1400-2250-#map_101168618.png#.png,2
patch-1250-1850-1300-1900-#map_101168702.png#.png,1
patch-4000-2450-4050-2500-#map_101168702.png#.png,1
patch-4150-1400-4200-1450-#map_101168618.png#.png,1
patch-4550-900-4600-950-#map_101168618.png#.png,1
patch-4100-1000-4150-1050-#map_101168708.png#.png,1
patch-3950-2600-4000-2650-#map_101168702.png#.png,1
patch-3250-1650-3300-1700-#map_101168618.png#.png,1
patch-3100-1950-3150-2000-#map_101168702.png#.png,2
patch-4750-2550-4800-2600-#map_101168702.png#.png,1
patch-250-1750-300-1800-#map_101168609.png#.png,1
patch-3200-2350-3250-2400-#map_101168702.png#.png,1
patch-1700-250-1750-300-#map_101168609.png#.png,1
patch-4500-3400-4550-3450-#map_101168702.png#.png,1
patch-400-600-450-650-#map_101168708.png#.png,1
patch-3450-1900-3500-1950-#map_101168708.png#.png,2
patch-300-2950-350-3000-#map_101168609.png#.png,1
patch-4500-1900-4550-1950-#map_101168702.png#.png,1
patch-1700-50-1750-100-#map_101168609.png#.png,1
patch-1300-2850-1350-2900-#map_101168708.png#.png,2
patch-2550-1300-2600-1350-#map_101168702.png#.png,1
