,image_id,image_path,label
0,patch-600-600-800-800-#map_74490389.png#.png,patches_200_pixel/patch-600-600-800-800-#map_74490389.png#.png,2
1,patch-0-4200-200-4400-#map_74488722.png#.png,patches_200_pixel/patch-0-4200-200-4400-#map_74488722.png#.png,2
2,patch-4800-2200-5000-2400-#map_74488700.png#.png,patches_200_pixel/patch-4800-2200-5000-2400-#map_74488700.png#.png,2
3,patch-2000-2000-2200-2200-#map_74488618.png#.png,patches_200_pixel/patch-2000-2000-2200-2200-#map_74488618.png#.png,2
4,patch-600-4200-800-4400-#map_74490389.png#.png,patches_200_pixel/patch-600-4200-800-4400-#map_74490389.png#.png,1
5,patch-1600-1800-1800-2000-#map_74488618.png#.png,patches_200_pixel/patch-1600-1800-1800-2000-#map_74488618.png#.png,2
6,patch-1800-2400-2000-2600-#map_74488618.png#.png,patches_200_pixel/patch-1800-2400-2000-2600-#map_74488618.png#.png,1
7,patch-4200-600-4400-800-#map_74488705.png#.png,patches_200_pixel/patch-4200-600-4400-800-#map_74488705.png#.png,2
8,patch-4800-4200-5000-4400-#map_74488700.png#.png,patches_200_pixel/patch-4800-4200-5000-4400-#map_74488700.png#.png,2
9,patch-4000-3600-4200-3800-#map_74488618.png#.png,patches_200_pixel/patch-4000-3600-4200-3800-#map_74488618.png#.png,2
10,patch-6400-3600-6600-3800-#map_74488621.png#.png,patches_200_pixel/patch-6400-3600-6600-3800-#map_74488621.png#.png,2
11,patch-5600-4800-5800-5000-#map_74488722.png#.png,patches_200_pixel/patch-5600-4800-5800-5000-#map_74488722.png#.png,1
12,patch-3200-4000-3400-4200-#map_74488700.png#.png,patches_200_pixel/patch-3200-4000-3400-4200-#map_74488700.png#.png,1
13,patch-1000-1000-1200-1200-#map_74488621.png#.png,patches_200_pixel/patch-1000-1000-1200-1200-#map_74488621.png#.png,2
14,patch-1000-1000-1200-1200-#map_74488700.png#.png,patches_200_pixel/patch-1000-1000-1200-1200-#map_74488700.png#.png,2
15,patch-3400-2200-3600-2400-#map_74488621.png#.png,patches_200_pixel/patch-3400-2200-3600-2400-#map_74488621.png#.png,2
16,patch-6200-3400-6400-3600-#map_74489053.png#.png,patches_200_pixel/patch-6200-3400-6400-3600-#map_74489053.png#.png,2
17,patch-2400-400-2600-600-#map_74488586.png#.png,patches_200_pixel/patch-2400-400-2600-600-#map_74488586.png#.png,2
18,patch-4400-200-4600-400-#map_74488689.png#.png,patches_200_pixel/patch-4400-200-4600-400-#map_74488689.png#.png,2
19,patch-2200-3600-2400-3800-#map_74488689.png#.png,patches_200_pixel/patch-2200-3600-2400-3800-#map_74488689.png#.png,2
20,patch-400-3800-600-4000-#map_74490389.png#.png,patches_200_pixel/patch-400-3800-600-4000-#map_74490389.png#.png,1
21,patch-5800-1800-6000-2000-#map_74488586.png#.png,patches_200_pixel/patch-5800-1800-6000-2000-#map_74488586.png#.png,2
